#SampleID,Replicate,Depth,Crust,Description,Layers,Moisture,NH4,NO3,InorganicN,TN,TC,Delta15N,MBC,MBN,TON,MBCMBN,CN,Phosphate
Strauss001-C11A,1,first,Biocrust,11A,Biocrust_0-1,8.13,29.26,3.69,32.95,1.24,18.67,1.97,924.52,101.06,97.37,9.15,15.10869565,10.31874015
Strauss008-C11B,1,second,Biocrust,11B,Biocrust_1-5,5.47,1.28,2.13,3.41,0.52,11.93,4.19,161.2,6.22,4.09,25.92,23.07443366,5.054021627
Strauss015-C11C,1,third,Biocrust,11C,Biocrust_5-15,3.39,0.63,0.81,1.44,0.38,10.65,3.99,81.78,1.85,1.04,44.16,28.14977974,3.557242914
Strauss022-C12A,1,first,Control,12A,Control_0-1,0.17,2.34,0.52,2.86,0.27,5.1,3.52,247.36,12.4,11.88,19.96,18.73493976,1.587106559
Strauss029-C12B,1,second,Control,12B,Control_1-5,2.27,2.19,0.64,2.84,0.43,10.71,4.46,95.43,0.81,0.17,117.88,24.74903475,2.472718447
Strauss036-C12C,2,third,Biocrust,21C,Biocrust_5-15,4.48,0.69,0.55,1.24,0.36,8.28,4.57,90.84,1.72,1.17,52.94,23.1797235,5.636208482
Strauss043-C21A,2,first,Biocrust,21A,Biocrust_0-1,8.52,13.38,4,17.38,0.85,12.5,3.05,503.14,44.19,40.2,11.39,14.70472441,6.719624778
Strauss050-C21B,2,second,Biocrust,21B,Biocrust_1-5,6.69,1.27,2.08,3.35,0.58,12.56,5.05,137.54,7.67,5.59,17.94,21.70520231,8.521315153
Strauss057-C21C,1,third,Control,12C,Control_5-15,4.06,0.65,0.39,1.04,0.28,9.1,3.62,25.67,0.64,0.25,40.06,32.84848485,5.251522884
Strauss064-C22A,2,first,Control,22A,Control_0-1,0.55,1.99,0.85,2.84,0.29,4.79,3.41,73.56,2.71,1.86,27.17,16.62790698,2.571144203
Strauss071-C22B,2,second,Control,22B,Control_1-5,2.18,2.58,1.26,3.84,0.45,9.79,4.28,107.09,4.01,2.74,26.74,21.55234657,3.643992535
Strauss078-C22C,2,third,Control,22C,Control_5-15,3.53,0.43,0.55,0.98,0.23,5.53,4.59,93.17,1.63,1.08,57.28,23.66197183,5.847902324
Strauss002-C31A,3,first,Biocrust,31A,Biocrust_0-1,11.94,46.15,6.17,52.31,1.21,19.58,3.36,1243.58,179.14,172.97,6.94,16.21359223,8.761937149
Strauss009-C31B,3,second,Biocrust,31B,Biocrust_1-5,6.84,1.37,2.18,3.56,0.39,8.96,4.65,99.49,7.12,4.94,13.97,23.03418803,1.673973659
Strauss016-C31C,3,third,Biocrust,31C,Biocrust_5-15,5.96,0.48,1.13,1.61,0.26,7.37,3.92,69.47,1.93,0.8,35.96,28.05031447,3.688941861
Strauss023-C32A,3,first,Control,32A,Control_0-1,2.43,3.73,4.31,8.04,0.46,9.48,4.13,96.43,3.48,0,27.73,20.76923077,1.831225962
Strauss030-C32B,3,second,Control,32B,Control_1-5,2.77,1.22,1.7,2.92,0.67,12.2,4.68,54.62,3.75,2.05,14.55,18.30049261,1.571183725
Strauss037-C32C,3,third,Control,32C,Control_5-15,3.84,0.57,0.81,1.38,0.32,9.86,3.62,88.97,2.34,1.53,38.09,30.73298429,2.488768621
Strauss044-C41A,4,first,Biocrust,41A,Biocrust_0-1,10.8,30.77,9.26,40.03,1.23,20.05,3.08,1380.57,203.88,194.62,6.77,16.31508678,5.321600365
Strauss051-C41B,4,second,Biocrust,41B,Biocrust_1-5,5.98,3.92,2.68,6.6,0.52,10.81,3.95,106.32,9.55,6.88,11.13,20.79617834,3.92624539
Strauss058-C41C,4,third,Biocrust,41C,Biocrust_5-15,3.97,1,0.85,1.85,0.5,8.83,4.32,66.55,2.6,1.75,25.56,17.6,2.163894203
Strauss065-C42A,4,first,Control,42A,Control_0-1,0.43,1.5,5.7,7.21,1,13.02,4.61,96.78,2.62,0,36.88,13.08333333,1.352017676
Strauss072-C42B,4,second,Control,42B,Control_1-5,1.5,0.81,1.35,2.17,0.84,11.9,5.2,116.48,2,0.64,58.29,14.16,4.342869976
Strauss079-C42C,4,third,Control,42C,Control_5-15,3.22,0.62,0.6,1.22,0.45,8.46,4.64,48.98,0.54,0,90.9,18.77777778,3.452650374
Strauss003-C51A,5,first,Biocrust,51A,Biocrust_0-1,10.27,55.17,2.87,58.04,1.7,16.45,2.41,1053.42,187.1,184.23,5.63,9.68627451,2.968688547
Strauss010-C51B,5,second,Biocrust,51B,Biocrust_1-5,5.45,2.76,1.12,3.89,0.65,8.36,4.03,109.46,8.74,7.62,12.52,12.84615385,5.353837426
Strauss017-C51C,5,third,Biocrust,51C,Biocrust_5-15,3.83,0.79,0.54,1.33,0.3,4.06,3.46,99.58,2.33,1.79,42.71,13.61111111,0.852915122
Strauss024-C52A,5,first,Control,52A,Control_0-1,0.25,0.72,0.72,1.44,0.47,5.63,3.21,94.68,2.3,1.58,41.14,12.07142857,0.473597652
Strauss031-C52B,5,second,Control,52B,Control_1-5,1.84,0.44,0.45,0.89,0.36,4.95,3.95,72.71,1.99,1.54,36.45,13.59090909,3.149227792
Strauss038-C52C,5,third,Control,52C,Control_5-15,3.66,0.53,0.47,1,0.26,4.24,2.77,49.7,0.87,0.39,57.26,16.1875,19.98928264
Strauss045-C61A,6,first,Biocrust,61A,Biocrust_0-1,6.72,66.98,4.13,71.11,1.51,14.43,2.04,836.21,138.25,134.12,6.05,9.555555556,2.954227564
Strauss052-C61B,6,second,Biocrust,61B,Biocrust_1-5,5.74,1.86,1.36,3.22,0.52,6.79,3.6,122.79,9.51,8.15,12.92,13.12903226,4.192435696
Strauss059-C61C,6,third,Biocrust,61C,Biocrust_5-15,5.8,0.57,0.25,0.83,0.29,4.29,3.21,109.59,5.05,4.79,21.72,15.05882353,0
Strauss066-C62A,6,first,Control,62A,Control_0-1,1.93,1.23,1.36,2.6,0.92,8.62,3.91,112.7,4.69,3.33,24.01,9.345454545,0.516822864
Strauss073-C62B,6,second,Control,62B,Control_1-5,2.16,0.93,0.48,1.41,0.82,7.33,4.07,66.93,1.12,0.64,60.01,8.959183673,4.432310387
Strauss080-C62C,6,third,Control,62C,Control_5-15,3.21,0.64,0.28,0.92,0.33,5.02,3.76,78.66,3.51,3.23,22.39,15.2,0
